project_id,project_code,project_title,project_description,sector,sub_sector,state_id,constituency_id,district_name,block_name,implementing_agency,mp_name,house_of_parliament,financial_year,current_status,recommendation_date,sanction_date,work_order_date,expected_completion_date,actual_completion_date
MPLADS-2024-0001,PRJ-34-532-001,Community RO Plant,Community RO Plant in Maldaha Uttar Parliamentary Constituency.,Drinking Water,Drinking Water,34,532,Maldaha Uttar District,Maldaha Uttar Block,District Rural Development Agency (DRDA),Hon MP of Maldaha Uttar,Lok Sabha,2024-25,Completed,2024-06-15,2024-07-10,2024-07-25,2024-11-30,2024-11-20
MPLADS-2024-0002,PRJ-33-480-002,Additional Classrooms in Govt High School,Additional Classrooms in Govt High School in Sambhal Parliamentary Constituency.,Education,Education,33,480,Sambhal District,Sambhal Block,District Rural Development Agency (DRDA),Hon MP of Sambhal,Lok Sabha,2024-25,In Progress,2024-06-20,2024-08-01,2024-08-20,2025-01-31,
MPLADS-2024-0003,PRJ-28-358-003,Primary Health Centre Sub-centre Upgradation,Primary Health Centre Sub-centre Upgradation in Pali Parliamentary Constituency.,Health,Health,28,358,Pali District,Pali Block,District Rural Development Agency (DRDA),Hon MP of Pali,Lok Sabha,2024-25,In Progress,2024-07-01,2024-08-15,2024-09-05,2025-03-31,
MPLADS-2024-0004,PRJ-34-533-004,Community Sanitary Complex with Solar Power,Community Sanitary Complex with Solar Power in Medinipur Parliamentary Constituency.,Sanitation,Sanitation,34,533,Medinipur District,Medinipur Block,District Rural Development Agency (DRDA),Hon MP of Medinipur,Lok Sabha,2024-25,Completed,2024-06-10,2024-06-28,2024-07-15,2024-10-15,2024-10-10
MPLADS-2024-0005,PRJ-01-326-005,Construction of Cement Concrete Road & Drain,Construction of Cement Concrete Road & Drain in Fatehgarh Sahib Parliamentary Constituency.,Roads & Bridges,Roads & Bridges,1,326,Fatehgarh Sahib District,Fatehgarh Sahib Block,District Rural Development Agency (DRDA),Hon MP of Fatehgarh Sahib,Lok Sabha,2024-25,Stalled,2024-06-05,2024-07-20,2024-08-10,2024-12-15,
MPLADS-2024-0006,PRJ-06-079-006,Installation of 50 Solar High Mast LED Lights,Installation of 50 Solar High Mast LED Lights in Paschim Champaran Parliamentary Constituency.,Electricity,Electricity,6,79,Paschim Champaran District,Paschim Champaran Block,District Rural Development Agency (DRDA),Hon MP of Paschim Champaran,Lok Sabha,2024-25,Completed,2024-06-18,2024-07-05,2024-07-22,2024-09-30,2024-09-25
MPLADS-2024-0007,PRJ-14-136-007,Digital Smart Classrooms in 5 Rural Schools,Digital Smart Classrooms in 5 Rural Schools in Karnal Parliamentary Constituency.,Education,Education,14,136,Karnal District,Karnal Block,District Rural Development Agency (DRDA),Hon MP of Karnal,Lok Sabha,2024-25,Work Order Issued,2024-07-15,2024-08-25,2024-09-20,2025-02-28,
MPLADS-2024-0008,PRJ-06-078-008,Deep Borewell with Solar Submersible Pump,Deep Borewell with Solar Submersible Pump in Valmiki Nagar Parliamentary Constituency.,Drinking Water,Drinking Water,6,78,Valmiki Nagar District,Valmiki Nagar Block,District Rural Development Agency (DRDA),Hon MP of Valmiki Nagar,Lok Sabha,2024-25,Completed,2024-06-12,2024-06-30,2024-07-10,2024-08-30,2024-08-28
MPLADS-2024-0009,PRJ-08-086-009,Advanced Life Support (ALS) Ambulance Provision,Advanced Life Support (ALS) Ambulance Provision in Durg Parliamentary Constituency.,Health,Health,8,86,Durg District,Durg Block,District Rural Development Agency (DRDA),Hon MP of Durg,Lok Sabha,2024-25,Completed,2024-06-25,2024-07-12,2024-07-28,2024-09-15,2024-09-12
MPLADS-2024-0010,PRJ-36-200-010,Solid Waste Segregation Shed & Equipment,Solid Waste Segregation Shed & Equipment in Chalakudy Parliamentary Constituency.,Sanitation,Sanitation,36,200,Chalakudy District,Chalakudy Block,District Rural Development Agency (DRDA),Hon MP of Chalakudy,Lok Sabha,2024-25,In Progress,2024-07-08,2024-08-18,2024-09-10,2025-04-15,
