project_id,event_type,previous_status,new_status,event_timestamp,performed_by,event_description,metadata_json
MPLADS-2024-0001,Created,,Recommended,2024-06-15 10:00:00+05:30,Hon MP (Maldaha Uttar),Work recommended by MP for Community RO Plant under financial year 2024-25.,"{""source"": ""e-SAKSHI MP Portal"", ""rec_amount"": 1500000.0}"
MPLADS-2024-0001,Sanctioned,Recommended,Sanctioned,2024-07-10 14:30:00+05:30,District Authority / Collector,"Administrative and financial sanction accorded for Rs. 1,500,000.00.","{""sanction_order"": ""DRDA/2024/SANC/001"", ""amount"": 1500000.0}"
MPLADS-2024-0001,Work Order Issued,Sanctioned,Work Order Issued,2024-07-25 11:15:00+05:30,Executive Engineer (DRDA),Tender finalized and work order issued to executing agency.,"{""work_order_no"": ""WO/0001"", ""stipulated_time_months"": 6}"
MPLADS-2024-0001,Completed,In Progress,Completed,2024-11-20 16:00:00+05:30,District Executive Engineer,Final completion certificate and asset geo-tagging submitted.,"{""completion_cert_no"": ""CC/2024/001"", ""final_expenditure"": 1450000.0}"
MPLADS-2024-0002,Created,,Recommended,2024-06-20 10:00:00+05:30,Hon MP (Sambhal),Work recommended by MP for Additional Classrooms in Govt High School under financial year 2024-25.,"{""source"": ""e-SAKSHI MP Portal"", ""rec_amount"": 2500000.0}"
MPLADS-2024-0002,Sanctioned,Recommended,Sanctioned,2024-08-01 14:30:00+05:30,District Authority / Collector,"Administrative and financial sanction accorded for Rs. 2,500,000.00.","{""sanction_order"": ""DRDA/2024/SANC/002"", ""amount"": 2500000.0}"
MPLADS-2024-0002,Work Order Issued,Sanctioned,Work Order Issued,2024-08-20 11:15:00+05:30,Executive Engineer (DRDA),Tender finalized and work order issued to executing agency.,"{""work_order_no"": ""WO/0002"", ""stipulated_time_months"": 6}"
MPLADS-2024-0003,Created,,Recommended,2024-07-01 10:00:00+05:30,Hon MP (Pali),Work recommended by MP for Primary Health Centre Sub-centre Upgradation under financial year 2024-25.,"{""source"": ""e-SAKSHI MP Portal"", ""rec_amount"": 3500000.0}"
MPLADS-2024-0003,Sanctioned,Recommended,Sanctioned,2024-08-15 14:30:00+05:30,District Authority / Collector,"Administrative and financial sanction accorded for Rs. 3,200,000.00.","{""sanction_order"": ""DRDA/2024/SANC/003"", ""amount"": 3200000.0}"
MPLADS-2024-0003,Work Order Issued,Sanctioned,Work Order Issued,2024-09-05 11:15:00+05:30,Executive Engineer (DRDA),Tender finalized and work order issued to executing agency.,"{""work_order_no"": ""WO/0003"", ""stipulated_time_months"": 6}"
MPLADS-2024-0004,Created,,Recommended,2024-06-10 10:00:00+05:30,Hon MP (Medinipur),Work recommended by MP for Community Sanitary Complex with Solar Power under financial year 2024-25.,"{""source"": ""e-SAKSHI MP Portal"", ""rec_amount"": 1200000.0}"
MPLADS-2024-0004,Sanctioned,Recommended,Sanctioned,2024-06-28 14:30:00+05:30,District Authority / Collector,"Administrative and financial sanction accorded for Rs. 1,200,000.00.","{""sanction_order"": ""DRDA/2024/SANC/004"", ""amount"": 1200000.0}"
MPLADS-2024-0004,Work Order Issued,Sanctioned,Work Order Issued,2024-07-15 11:15:00+05:30,Executive Engineer (DRDA),Tender finalized and work order issued to executing agency.,"{""work_order_no"": ""WO/0004"", ""stipulated_time_months"": 6}"
MPLADS-2024-0004,Completed,In Progress,Completed,2024-10-10 16:00:00+05:30,District Executive Engineer,Final completion certificate and asset geo-tagging submitted.,"{""completion_cert_no"": ""CC/2024/004"", ""final_expenditure"": 1180000.0}"
MPLADS-2024-0005,Created,,Recommended,2024-06-05 10:00:00+05:30,Hon MP (Fatehgarh Sahib),Work recommended by MP for Construction of Cement Concrete Road & Drain under financial year 2024-25.,"{""source"": ""e-SAKSHI MP Portal"", ""rec_amount"": 4500000.0}"
