project_id,project_code,project_title,project_description,sector,sub_sector,state_id,constituency_id,district_name,block_name,implementing_agency,mp_name,house_of_parliament,financial_year,current_status,recommendation_date,sanction_date,work_order_date,expected_completion_date,actual_completion_date,currency,recommended_amount,sanctioned_amount,released_amount,expenditure_amount,utilization_rate_pct,cost_overrun_amount,cost_overrun_pct,last_disbursement_date,reported_date,physical_progress_pct,financial_progress_pct,current_stage,days_delayed,milestone_status,inspected_by,inspection_date,inspection_remarks,geo_latitude,geo_longitude,photo_evidence_url,delay_days,is_delayed,sanction_sla_delay_days,planned_duration_days,actual_duration_days,project_duration,project_duration_days,elapsed_duration_days,admin_sanction_duration_days,tendering_duration_days,total_planned_lifecycle_days,utilization_ratio_sanctioned,utilization_ratio_released,utilization_ratio,cost_deviation_sanction,cost_deviation_sanction_pct,cost_deviation_expenditure,cost_deviation_expenditure_pct,cost_deviation,has_cost_overrun,unreleased_allocation,planned_schedule_pct,progress_gap_schedule,progress_gap,progress_gap_fin_phy,is_schedule_lagging,is_disbursement_skewed,category_mean_cost,category_median_cost,category_std_cost,category_min_cost,category_max_cost,category_project_count,cost_per_category,cost_relative_to_category,cost_category_zscore
MPLADS-2024-0001,PRJ-34-532-001,Community RO Plant,Community RO Plant in Maldaha Uttar Parliamentary Constituency.,Drinking Water,Drinking Water,34,532,Maldaha Uttar District,Maldaha Uttar Block,District Rural Development Agency (DRDA),Hon MP of Maldaha Uttar,Lok Sabha,2024-25,Completed,2024-06-15,2024-07-10,2024-07-25,2024-11-30,2024-11-20,INR,1500000.0,1500000.0,1500000.0,1450000.0,96.67,0.0,0.0,2024-07-25,2024-11-15,100.0,96.67,Completed,0,Completed,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 100.0%. Milestone: Completed.,20.5937,78.9629,https://mplads.gov.in/photos/MPLADS-2024-0001_inspection.jpg,-10,False,0,128,118.0,118,118,113,25,15,168,0.9667,0.9667,0.9667,0.0,0.0,-50000.0,-3.33,-50000.0,False,0.0,100.0,0.0,0.0,-3.33,False,False,1775000.0,1650000.0,917877.99,800000.0,3000000.0,4,1775000.0,0.8451,-0.2996
MPLADS-2024-0002,PRJ-33-480-002,Additional Classrooms in Govt High School,Additional Classrooms in Govt High School in Sambhal Parliamentary Constituency.,Education,Education,33,480,Sambhal District,Sambhal Block,District Rural Development Agency (DRDA),Hon MP of Sambhal,Lok Sabha,2024-25,In Progress,2024-06-20,2024-08-01,2024-08-20,2025-01-31,,INR,2500000.0,2500000.0,2000000.0,1800000.0,90.0,0.0,0.0,2024-08-20,2024-11-15,65.0,90.0,Structure,0,On Track,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 65.0%. Milestone: On Track.,20.9937,79.3629,https://mplads.gov.in/photos/MPLADS-2024-0002_inspection.jpg,0,False,0,164,,87,87,87,42,19,225,0.72,0.9,0.9,0.0,0.0,-700000.0,-28.0,-700000.0,False,500000.0,53.05,-11.95,-11.95,25.0,False,True,2433333.33,2500000.0,404145.19,2000000.0,2800000.0,3,2433333.33,1.0274,0.165
MPLADS-2024-0003,PRJ-28-358-003,Primary Health Centre Sub-centre Upgradation,Primary Health Centre Sub-centre Upgradation in Pali Parliamentary Constituency.,Health,Health,28,358,Pali District,Pali Block,District Rural Development Agency (DRDA),Hon MP of Pali,Lok Sabha,2024-25,In Progress,2024-07-01,2024-08-15,2024-09-05,2025-03-31,,INR,3500000.0,3200000.0,1600000.0,1400000.0,87.5,0.0,0.0,2024-09-05,2024-11-15,65.0,87.5,Structure,0,On Track,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 65.0%. Milestone: On Track.,21.3937,79.7629,https://mplads.gov.in/photos/MPLADS-2024-0003_inspection.jpg,0,False,0,207,,71,71,71,45,21,273,0.4375,0.875,0.875,-300000.0,-8.57,-1800000.0,-56.25,-1800000.0,False,1600000.0,34.3,-30.7,-30.7,22.5,False,True,3900000.0,4000000.0,655743.85,3200000.0,4500000.0,3,3900000.0,0.8205,-1.0675
MPLADS-2024-0004,PRJ-34-533-004,Community Sanitary Complex with Solar Power,Community Sanitary Complex with Solar Power in Medinipur Parliamentary Constituency.,Sanitation,Sanitation,34,533,Medinipur District,Medinipur Block,District Rural Development Agency (DRDA),Hon MP of Medinipur,Lok Sabha,2024-25,Completed,2024-06-10,2024-06-28,2024-07-15,2024-10-15,2024-10-10,INR,1200000.0,1200000.0,1200000.0,1180000.0,98.33,0.0,0.0,2024-07-15,2024-11-15,100.0,98.33,Completed,0,Completed,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 100.0%. Milestone: Completed.,21.7937,80.1629,https://mplads.gov.in/photos/MPLADS-2024-0004_inspection.jpg,-5,False,0,92,87.0,87,87,123,18,17,127,0.9833,0.9833,0.9833,0.0,0.0,-20000.0,-1.67,-20000.0,False,0.0,100.0,0.0,0.0,-1.67,False,False,2333333.33,2000000.0,1331665.62,1200000.0,3800000.0,3,2333333.33,0.5143,-0.8511
MPLADS-2024-0005,PRJ-01-326-005,Construction of Cement Concrete Road & Drain,Construction of Cement Concrete Road & Drain in Fatehgarh Sahib Parliamentary Constituency.,Roads & Bridges,Roads & Bridges,1,326,Fatehgarh Sahib District,Fatehgarh Sahib Block,District Rural Development Agency (DRDA),Hon MP of Fatehgarh Sahib,Lok Sabha,2024-25,Stalled,2024-06-05,2024-07-20,2024-08-10,2024-12-15,,INR,4500000.0,4200000.0,2100000.0,1200000.0,57.14,50000.0,1.19,2024-08-10,2024-11-15,35.0,57.14,Foundation,95,Critical,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 35.0%. Milestone: Critical.,22.1937,80.5629,https://mplads.gov.in/photos/MPLADS-2024-0005_inspection.jpg,95,True,0,127,,97,97,97,45,21,193,0.2857,0.5714,0.5714,-300000.0,-6.67,-3000000.0,-71.43,-3000000.0,False,2100000.0,76.38,41.38,41.38,22.14,True,True,3466666.67,4200000.0,1814754.35,1400000.0,4800000.0,3,3466666.67,1.2115,0.4041
MPLADS-2024-0006,PRJ-06-079-006,Installation of 50 Solar High Mast LED Lights,Installation of 50 Solar High Mast LED Lights in Paschim Champaran Parliamentary Constituency.,Electricity,Electricity,6,79,Paschim Champaran District,Paschim Champaran Block,District Rural Development Agency (DRDA),Hon MP of Paschim Champaran,Lok Sabha,2024-25,Completed,2024-06-18,2024-07-05,2024-07-22,2024-09-30,2024-09-25,INR,1800000.0,1800000.0,1800000.0,1750000.0,97.22,0.0,0.0,2024-07-22,2024-11-15,100.0,97.22,Completed,0,Completed,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 100.0%. Milestone: Completed.,22.5937,80.9629,https://mplads.gov.in/photos/MPLADS-2024-0006_inspection.jpg,-5,False,0,70,65.0,65,65,116,17,17,104,0.9722,0.9722,0.9722,0.0,0.0,-50000.0,-2.78,-50000.0,False,0.0,100.0,0.0,0.0,-2.78,False,False,1800000.0,1800000.0,0.0,1800000.0,1800000.0,1,1800000.0,1.0,0.0
MPLADS-2024-0007,PRJ-14-136-007,Digital Smart Classrooms in 5 Rural Schools,Digital Smart Classrooms in 5 Rural Schools in Karnal Parliamentary Constituency.,Education,Education,14,136,Karnal District,Karnal Block,District Rural Development Agency (DRDA),Hon MP of Karnal,Lok Sabha,2024-25,Work Order Issued,2024-07-15,2024-08-25,2024-09-20,2025-02-28,,INR,2000000.0,2000000.0,1000000.0,400000.0,40.0,0.0,0.0,2024-09-20,2024-11-15,10.0,40.0,Contract Awarded,0,On Track,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 10.0%. Milestone: On Track.,22.9937,81.3629,https://mplads.gov.in/photos/MPLADS-2024-0007_inspection.jpg,0,False,0,161,,56,56,56,41,26,228,0.2,0.4,0.4,0.0,0.0,-1600000.0,-80.0,-1600000.0,False,1000000.0,34.78,24.78,24.78,30.0,True,True,2433333.33,2500000.0,404145.19,2000000.0,2800000.0,3,2433333.33,0.8219,-1.0722
MPLADS-2024-0008,PRJ-06-078-008,Deep Borewell with Solar Submersible Pump,Deep Borewell with Solar Submersible Pump in Valmiki Nagar Parliamentary Constituency.,Drinking Water,Drinking Water,6,78,Valmiki Nagar District,Valmiki Nagar Block,District Rural Development Agency (DRDA),Hon MP of Valmiki Nagar,Lok Sabha,2024-25,Completed,2024-06-12,2024-06-30,2024-07-10,2024-08-30,2024-08-28,INR,800000.0,800000.0,800000.0,780000.0,97.5,0.0,0.0,2024-07-10,2024-11-15,100.0,97.5,Completed,0,Completed,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 100.0%. Milestone: Completed.,23.3937,81.7629,https://mplads.gov.in/photos/MPLADS-2024-0008_inspection.jpg,-2,False,0,51,49.0,49,49,128,18,10,79,0.975,0.975,0.975,0.0,0.0,-20000.0,-2.5,-20000.0,False,0.0,100.0,0.0,0.0,-2.5,False,False,1775000.0,1650000.0,917877.99,800000.0,3000000.0,4,1775000.0,0.4507,-1.0622
MPLADS-2024-0009,PRJ-08-086-009,Advanced Life Support (ALS) Ambulance Provision,Advanced Life Support (ALS) Ambulance Provision in Durg Parliamentary Constituency.,Health,Health,8,86,Durg District,Durg Block,District Rural Development Agency (DRDA),Hon MP of Durg,Lok Sabha,2024-25,Completed,2024-06-25,2024-07-12,2024-07-28,2024-09-15,2024-09-12,INR,4000000.0,4000000.0,4000000.0,3950000.0,98.75,0.0,0.0,2024-07-28,2024-11-15,100.0,98.75,Completed,0,Completed,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 100.0%. Milestone: Completed.,23.7937,82.1629,https://mplads.gov.in/photos/MPLADS-2024-0009_inspection.jpg,-3,False,0,49,46.0,46,46,110,17,16,82,0.9875,0.9875,0.9875,0.0,0.0,-50000.0,-1.25,-50000.0,False,0.0,100.0,0.0,0.0,-1.25,False,False,3900000.0,4000000.0,655743.85,3200000.0,4500000.0,3,3900000.0,1.0256,0.1525
MPLADS-2024-0010,PRJ-36-200-010,Solid Waste Segregation Shed & Equipment,Solid Waste Segregation Shed & Equipment in Chalakudy Parliamentary Constituency.,Sanitation,Sanitation,36,200,Chalakudy District,Chalakudy Block,District Rural Development Agency (DRDA),Hon MP of Chalakudy,Lok Sabha,2024-25,In Progress,2024-07-08,2024-08-18,2024-09-10,2025-04-15,,INR,2200000.0,2000000.0,1000000.0,200000.0,20.0,0.0,0.0,2024-09-10,2024-11-15,65.0,20.0,Structure,0,On Track,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 65.0%. Milestone: On Track.,24.1937,82.5629,https://mplads.gov.in/photos/MPLADS-2024-0010_inspection.jpg,0,False,0,217,,66,66,66,41,23,281,0.1,0.2,0.2,-200000.0,-9.09,-1800000.0,-90.0,-1800000.0,False,1000000.0,30.41,-34.59,-34.59,-45.0,False,False,2333333.33,2000000.0,1331665.62,1200000.0,3800000.0,3,2333333.33,0.8571,-0.2503
